source,doc_id,condition,sentiment_label,p_pos,p_neg,p_neu,signed_polarity,affective_extremity,is_subjective
mistral,305,detector_aware,POSITIVE,0.849503,0.002916,0.147581,0.846587,0.852419,1
gpt,305,detector_evasive,NEUTRAL,0.141856,0.039748,0.818397,0.102108,0.181603,0
mistral,305,detector_evasive,NEUTRAL,0.24193,0.04321,0.71486,0.19872,0.28514,0
human,306,-,POSITIVE,0.813857,0.008715,0.177428,0.805141,0.822572,1
gpt,306,baseline,POSITIVE,0.910691,0.00154,0.087769,0.909151,0.912231,1
mistral,306,baseline,NEUTRAL,0.47352,0.005902,0.520579,0.467618,0.479421,0
gpt,306,human_like,POSITIVE,0.526291,0.005982,0.467727,0.520309,0.532273,1
mistral,306,human_like,POSITIVE,0.976101,0.000599,0.0233,0.975502,0.9767,1
gpt,306,detector_aware,NEUTRAL,0.130609,0.024725,0.844667,0.105884,0.155333,0
mistral,306,detector_aware,POSITIVE,0.498875,0.012995,0.48813,0.48588,0.51187,1
gpt,306,detector_evasive,NEUTRAL,0.234555,0.020005,0.74544,0.214551,0.25456,0
mistral,306,detector_evasive,POSITIVE,0.55334,0.024016,0.422644,0.529324,0.577356,1
human,307,-,NEGATIVE,0.017757,0.602326,0.379917,-0.584569,0.620083,1
gpt,307,baseline,NEUTRAL,0.04803,0.014831,0.937139,0.0332,0.062861,0
mistral,307,baseline,NEUTRAL,0.006471,0.107996,0.885533,-0.101525,0.114467,0
gpt,307,human_like,NEUTRAL,0.034094,0.013632,0.952274,0.020462,0.047726,0
mistral,307,human_like,NEUTRAL,0.019009,0.014851,0.96614,0.004157,0.03386,0
gpt,307,detector_aware,NEUTRAL,0.042338,0.024403,0.933259,0.017935,0.066741,0
mistral,307,detector_aware,NEUTRAL,0.050059,0.020199,0.929743,0.02986,0.070257,0
gpt,307,detector_evasive,NEUTRAL,0.05844,0.032858,0.908702,0.025582,0.091298,0
mistral,307,detector_evasive,NEUTRAL,0.035945,0.055801,0.908254,-0.019856,0.091746,0
human,308,-,NEUTRAL,0.022774,0.059175,0.918052,-0.036401,0.081948,0
gpt,308,baseline,NEUTRAL,0.057647,0.022006,0.920348,0.035641,0.079652,0
mistral,308,baseline,NEUTRAL,0.021391,0.052104,0.926505,-0.030712,0.073495,0
gpt,308,human_like,NEUTRAL,0.034321,0.010499,0.95518,0.023822,0.04482,0
mistral,308,human_like,NEUTRAL,0.043312,0.025049,0.931638,0.018263,0.068362,0
gpt,308,detector_aware,NEUTRAL,0.029121,0.026178,0.944701,0.002943,0.055299,0
mistral,308,detector_aware,NEUTRAL,0.072803,0.029857,0.89734,0.042946,0.10266,0
gpt,308,detector_evasive,NEUTRAL,0.089853,0.014414,0.895734,0.075439,0.104266,0
mistral,308,detector_evasive,NEUTRAL,0.038338,0.073331,0.888331,-0.034993,0.111669,0
human,309,-,NEUTRAL,0.013806,0.463178,0.523017,-0.449372,0.476983,0
gpt,309,baseline,NEUTRAL,0.249343,0.065699,0.684958,0.183644,0.315042,0
mistral,309,baseline,NEUTRAL,0.031519,0.020821,0.94766,0.010698,0.05234,0
gpt,309,human_like,NEUTRAL,0.043493,0.019192,0.937315,0.024302,0.062685,0
mistral,309,human_like,NEUTRAL,0.025513,0.011352,0.963135,0.014162,0.036865,0
gpt,309,detector_aware,NEUTRAL,0.040662,0.025646,0.933691,0.015016,0.066309,0
mistral,309,detector_aware,NEUTRAL,0.034448,0.027255,0.938297,0.007192,0.061703,0
gpt,309,detector_evasive,NEUTRAL,0.04765,0.030189,0.922162,0.017461,0.077838,0
mistral,309,detector_evasive,NEUTRAL,0.057109,0.043136,0.899755,0.013973,0.100245,0
human,310,-,NEUTRAL,0.018051,0.198715,0.783233,-0.180664,0.216767,0
gpt,310,baseline,NEUTRAL,0.056158,0.048527,0.895315,0.007632,0.104685,0
mistral,310,baseline,NEUTRAL,0.027824,0.023538,0.948638,0.004287,0.051362,0
gpt,310,human_like,NEUTRAL,0.035866,0.011953,0.952181,0.023913,0.047819,0
mistral,310,human_like,NEUTRAL,0.021716,0.02496,0.953324,-0.003245,0.046676,0
gpt,310,detector_aware,NEUTRAL,0.032915,0.023218,0.943867,0.009698,0.056133,0
mistral,310,detector_aware,NEUTRAL,0.017201,0.073461,0.909338,-0.05626,0.090662,0
gpt,310,detector_evasive,NEUTRAL,0.064306,0.022239,0.913455,0.042067,0.086545,0
mistral,310,detector_evasive,NEUTRAL,0.032838,0.048298,0.918864,-0.01546,0.081136,0
human,311,-,NEUTRAL,0.016051,0.247646,0.736302,-0.231595,0.263698,0
gpt,311,baseline,NEUTRAL,0.063962,0.020495,0.915543,0.043467,0.084457,0
mistral,311,baseline,NEUTRAL,0.013537,0.02152,0.964944,-0.007983,0.035056,0
gpt,311,human_like,NEUTRAL,0.039732,0.009798,0.95047,0.029933,0.04953,0
mistral,311,human_like,NEUTRAL,0.037105,0.016535,0.94636,0.020571,0.05364,0
gpt,311,detector_aware,NEUTRAL,0.033054,0.017868,0.949078,0.015186,0.050922,0
mistral,311,detector_aware,NEUTRAL,0.023935,0.029239,0.946825,-0.005304,0.053175,0
gpt,311,detector_evasive,NEUTRAL,0.097049,0.016878,0.886073,0.080171,0.113927,0
mistral,311,detector_evasive,NEUTRAL,0.062186,0.031985,0.905828,0.030201,0.094172,0
human,312,-,NEUTRAL,0.022026,0.03624,0.941734,-0.014214,0.058266,0
gpt,312,baseline,NEUTRAL,0.131851,0.019803,0.848346,0.112048,0.151654,0
mistral,312,baseline,NEUTRAL,0.018802,0.013068,0.96813,0.005733,0.03187,0
gpt,312,human_like,NEUTRAL,0.036528,0.012442,0.95103,0.024085,0.04897,0
mistral,312,human_like,NEUTRAL,0.020096,0.016621,0.963283,0.003476,0.036717,0
gpt,312,detector_aware,NEUTRAL,0.033181,0.019895,0.946924,0.013286,0.053076,0
mistral,312,detector_aware,NEUTRAL,0.020337,0.014358,0.965305,0.005979,0.034695,0
gpt,312,detector_evasive,NEUTRAL,0.139258,0.030069,0.830673,0.10919,0.169327,0
mistral,312,detector_evasive,NEUTRAL,0.011001,0.068796,0.920203,-0.057795,0.079797,0
human,313,-,NEGATIVE,0.051864,0.507109,0.441027,-0.455245,0.558973,1
gpt,313,baseline,NEUTRAL,0.30656,0.015243,0.678197,0.291317,0.321803,0
mistral,313,baseline,NEUTRAL,0.012594,0.01716,0.970246,-0.004566,0.029754,0
gpt,313,human_like,NEUTRAL,0.030861,0.016632,0.952507,0.014229,0.047493,0
mistral,313,human_like,NEUTRAL,0.007368,0.037968,0.954664,-0.0306,0.045336,0
gpt,313,detector_aware,NEUTRAL,0.02972,0.017876,0.952404,0.011845,0.047596,0
mistral,313,detector_aware,NEUTRAL,0.017397,0.024009,0.958594,-0.006611,0.041406,0
gpt,313,detector_evasive,NEUTRAL,0.03193,0.066894,0.901176,-0.034964,0.098824,0
mistral,313,detector_evasive,NEUTRAL,0.068948,0.038215,0.892836,0.030733,0.107164,0
human,314,-,NEGATIVE,0.008436,0.908815,0.082749,-0.900379,0.917251,1
gpt,314,baseline,NEUTRAL,0.10516,0.036562,0.858279,0.068598,0.141721,0
mistral,314,baseline,NEUTRAL,0.015612,0.012084,0.972304,0.003527,0.027696,0
gpt,314,human_like,NEUTRAL,0.047195,0.018069,0.934736,0.029127,0.065264,0
mistral,314,human_like,NEUTRAL,0.019721,0.014146,0.966133,0.005576,0.033867,0
gpt,314,detector_aware,NEUTRAL,0.045018,0.027583,0.927399,0.017435,0.072601,0
mistral,314,detector_aware,NEUTRAL,0.020923,0.015591,0.963486,0.005332,0.036514,0
gpt,314,detector_evasive,NEUTRAL,0.055322,0.030518,0.914161,0.024804,0.085839,0
mistral,314,detector_evasive,NEUTRAL,0.083434,0.040793,0.875773,0.04264,0.124227,0
human,315,-,NEUTRAL,0.184984,0.047036,0.76798,0.137949,0.23202,0
gpt,315,baseline,NEUTRAL,0.133474,0.02001,0.846515,0.113464,0.153485,0
mistral,315,baseline,NEUTRAL,0.037064,0.021535,0.941401,0.015529,0.058599,0
gpt,315,human_like,NEUTRAL,0.044734,0.014644,0.940622,0.03009,0.059378,0
mistral,315,human_like,NEUTRAL,0.028125,0.014177,0.957698,0.013948,0.042302,0
gpt,315,detector_aware,NEUTRAL,0.022017,0.020647,0.957337,0.00137,0.042663,0
mistral,315,detector_aware,NEUTRAL,0.019874,0.018772,0.961354,0.001102,0.038646,0
gpt,315,detector_evasive,NEUTRAL,0.095617,0.024528,0.879855,0.071089,0.120145,0
mistral,315,detector_evasive,NEUTRAL,0.038984,0.025323,0.935693,0.013661,0.064307,0
human,316,-,NEUTRAL,0.020366,0.075868,0.903765,-0.055502,0.096235,0
gpt,316,baseline,NEUTRAL,0.0553,0.019233,0.925466,0.036067,0.074534,0
mistral,316,baseline,NEUTRAL,0.022822,0.014267,0.962911,0.008556,0.037089,0
gpt,316,human_like,NEUTRAL,0.030719,0.014306,0.954976,0.016413,0.045024,0
mistral,316,human_like,NEUTRAL,0.035776,0.013597,0.950627,0.02218,0.049373,0
gpt,316,detector_aware,NEUTRAL,0.029357,0.013321,0.957322,0.016036,0.042678,0
mistral,316,detector_aware,NEUTRAL,0.046021,0.031516,0.922464,0.014505,0.077536,0
gpt,316,detector_evasive,NEUTRAL,0.069783,0.024394,0.905823,0.045389,0.094177,0
mistral,316,detector_evasive,NEUTRAL,0.033478,0.075731,0.890791,-0.042252,0.109209,0
human,317,-,NEUTRAL,0.073661,0.093633,0.832706,-0.019972,0.167294,0
gpt,317,baseline,NEUTRAL,0.046788,0.016939,0.936273,0.029849,0.063727,0
mistral,317,baseline,NEUTRAL,0.034145,0.01649,0.949365,0.017656,0.050635,0
gpt,317,human_like,NEUTRAL,0.044532,0.008617,0.946851,0.035915,0.053149,0
mistral,317,human_like,NEUTRAL,0.012773,0.010374,0.976853,0.002399,0.023147,0
gpt,317,detector_aware,NEUTRAL,0.031935,0.026608,0.941457,0.005327,0.058543,0
mistral,317,detector_aware,NEUTRAL,0.028068,0.017167,0.954764,0.010901,0.045236,0
gpt,317,detector_evasive,NEUTRAL,0.040805,0.024616,0.934579,0.016189,0.065421,0
mistral,317,detector_evasive,NEUTRAL,0.051758,0.044891,0.903351,0.006867,0.096649,0
human,318,-,NEUTRAL,0.025319,0.035293,0.939388,-0.009974,0.060612,0
gpt,318,baseline,NEUTRAL,0.151335,0.017572,0.831093,0.133763,0.168907,0
mistral,318,baseline,NEUTRAL,0.017898,0.014506,0.967597,0.003392,0.032403,0
gpt,318,human_like,NEUTRAL,0.071588,0.008479,0.919932,0.063109,0.080068,0
mistral,318,human_like,NEUTRAL,0.011494,0.014619,0.973887,-0.003125,0.026113,0
gpt,318,detector_aware,NEUTRAL,0.03583,0.027314,0.936857,0.008516,0.063143,0
mistral,318,detector_aware,NEUTRAL,0.017342,0.093098,0.889561,-0.075756,0.110439,0
gpt,318,detector_evasive,NEUTRAL,0.039967,0.019258,0.940774,0.020709,0.059226,0
mistral,318,detector_evasive,NEUTRAL,0.056085,0.063255,0.88066,-0.007171,0.11934,0
human,319,-,NEUTRAL,0.025607,0.03657,0.937823,-0.010963,0.062177,0
gpt,319,baseline,NEUTRAL,0.0872,0.017528,0.895272,0.069673,0.104728,0
mistral,319,baseline,NEUTRAL,0.029967,0.022298,0.947735,0.007668,0.052265,0
gpt,319,human_like,NEUTRAL,0.045273,0.010895,0.943832,0.034378,0.056168,0
mistral,319,human_like,NEUTRAL,0.01564,0.021016,0.963343,-0.005376,0.036657,0
gpt,319,detector_aware,NEUTRAL,0.041824,0.012147,0.946029,0.029677,0.053971,0
mistral,319,detector_aware,NEUTRAL,0.020519,0.039412,0.940069,-0.018893,0.059931,0
gpt,319,detector_evasive,NEUTRAL,0.082704,0.020243,0.897053,0.062462,0.102947,0
mistral,319,detector_evasive,NEUTRAL,0.056178,0.117354,0.826468,-0.061176,0.173532,0
human,320,-,NEUTRAL,0.056791,0.060216,0.882993,-0.003425,0.117007,0
gpt,320,baseline,NEUTRAL,0.061595,0.019481,0.918924,0.042114,0.081076,0
mistral,320,baseline,NEUTRAL,0.017698,0.022959,0.959342,-0.005261,0.040658,0
gpt,320,human_like,NEUTRAL,0.051735,0.013444,0.934821,0.038291,0.065179,0
mistral,320,human_like,NEUTRAL,0.025909,0.015844,0.958247,0.010065,0.041753,0
gpt,320,detector_aware,NEUTRAL,0.032864,0.027347,0.93979,0.005517,0.06021,0
mistral,320,detector_aware,NEUTRAL,0.039524,0.048306,0.912169,-0.008782,0.087831,0
gpt,320,detector_evasive,NEUTRAL,0.044108,0.039175,0.916717,0.004933,0.083283,0
mistral,320,detector_evasive,NEUTRAL,0.024882,0.055603,0.919515,-0.030721,0.080485,0
human,321,-,NEUTRAL,0.258845,0.031688,0.709467,0.227157,0.290533,0
gpt,321,baseline,NEUTRAL,0.09703,0.017567,0.885403,0.079463,0.114597,0
mistral,321,baseline,NEUTRAL,0.018975,0.166945,0.81408,-0.14797,0.18592,0
gpt,321,human_like,NEUTRAL,0.078274,0.011338,0.910388,0.066936,0.089612,0
mistral,321,human_like,NEUTRAL,0.02893,0.022515,0.948556,0.006415,0.051444,0
gpt,321,detector_aware,NEUTRAL,0.026865,0.019747,0.953388,0.007118,0.046612,0
mistral,321,detector_aware,NEUTRAL,0.015448,0.00937,0.975182,0.006079,0.024818,0
gpt,321,detector_evasive,NEUTRAL,0.048353,0.086547,0.8651,-0.038194,0.1349,0
mistral,321,detector_evasive,NEUTRAL,0.038522,0.046899,0.914578,-0.008377,0.085422,0
human,322,-,NEUTRAL,0.016279,0.033085,0.950635,-0.016806,0.049365,0
gpt,322,baseline,NEUTRAL,0.073756,0.028231,0.898013,0.045525,0.101987,0
mistral,322,baseline,NEUTRAL,0.030305,0.00876,0.960935,0.021544,0.039065,0
gpt,322,human_like,NEUTRAL,0.034308,0.01719,0.948502,0.017118,0.051498,0
mistral,322,human_like,NEUTRAL,0.016266,0.009857,0.973877,0.006409,0.026123,0
gpt,322,detector_aware,NEUTRAL,0.042991,0.013733,0.943276,0.029258,0.056724,0
mistral,322,detector_aware,NEUTRAL,0.019168,0.028278,0.952554,-0.00911,0.047446,0
gpt,322,detector_evasive,NEUTRAL,0.05108,0.028198,0.920722,0.022882,0.079278,0
mistral,322,detector_evasive,NEUTRAL,0.057131,0.032017,0.910852,0.025114,0.089148,0
human,323,-,NEUTRAL,0.035089,0.066273,0.898638,-0.031184,0.101362,0
gpt,323,baseline,NEUTRAL,0.122516,0.019847,0.857637,0.102669,0.142363,0
mistral,323,baseline,POSITIVE,0.491004,0.018477,0.490519,0.472527,0.509481,1
gpt,323,human_like,NEUTRAL,0.111677,0.01316,0.875163,0.098517,0.124837,0
mistral,323,human_like,NEUTRAL,0.028569,0.026732,0.944699,0.001837,0.055301,0
gpt,323,detector_aware,NEUTRAL,0.234204,0.019942,0.745855,0.214262,0.254145,0
mistral,323,detector_aware,NEUTRAL,0.0319,0.01521,0.95289,0.01669,0.04711,0
gpt,323,detector_evasive,NEUTRAL,0.217252,0.017063,0.765685,0.200189,0.234315,0
mistral,323,detector_evasive,NEUTRAL,0.046915,0.061599,0.891486,-0.014684,0.108514,0
human,324,-,NEUTRAL,0.023628,0.01384,0.962532,0.009788,0.037468,0
gpt,324,baseline,NEUTRAL,0.259484,0.016701,0.723815,0.242783,0.276185,0
mistral,324,baseline,NEUTRAL,0.154766,0.016254,0.82898,0.138512,0.17102,0
gpt,324,human_like,NEUTRAL,0.10339,0.018189,0.878421,0.085202,0.121579,0
mistral,324,human_like,NEUTRAL,0.299778,0.011817,0.688405,0.287961,0.311595,0
gpt,324,detector_aware,NEUTRAL,0.119544,0.017975,0.862481,0.101569,0.137519,0
mistral,324,detector_aware,NEUTRAL,0.125247,0.01261,0.862143,0.112637,0.137857,0
gpt,324,detector_evasive,NEUTRAL,0.102205,0.030196,0.8676,0.072009,0.1324,0
mistral,324,detector_evasive,NEUTRAL,0.111743,0.01654,0.871717,0.095203,0.128283,0
human,325,-,NEUTRAL,0.029412,0.032938,0.937651,-0.003526,0.062349,0
gpt,325,baseline,NEUTRAL,0.255442,0.019021,0.725538,0.236421,0.274462,0
mistral,325,baseline,NEUTRAL,0.033658,0.075486,0.890855,-0.041828,0.109145,0
gpt,325,human_like,NEUTRAL,0.112342,0.018896,0.868762,0.093446,0.131238,0
mistral,325,human_like,NEUTRAL,0.03279,0.035693,0.931517,-0.002903,0.068483,0
gpt,325,detector_aware,NEUTRAL,0.070845,0.016514,0.912641,0.054331,0.087359,0
mistral,325,detector_aware,NEUTRAL,0.029098,0.008058,0.962844,0.02104,0.037156,0
gpt,325,detector_evasive,NEUTRAL,0.164205,0.024606,0.811189,0.1396,0.188811,0
mistral,325,detector_evasive,NEUTRAL,0.110139,0.023871,0.86599,0.086267,0.13401,0
human,326,-,NEUTRAL,0.304759,0.070722,0.624519,0.234036,0.375481,0
gpt,326,baseline,NEUTRAL,0.052058,0.024656,0.923286,0.027402,0.076714,0
mistral,326,baseline,NEUTRAL,0.075711,0.013265,0.911024,0.062447,0.088976,0
gpt,326,human_like,NEUTRAL,0.099372,0.019013,0.881615,0.080359,0.118385,0
mistral,326,human_like,NEUTRAL,0.048694,0.011747,0.939559,0.036947,0.060441,0
gpt,326,detector_aware,NEUTRAL,0.074908,0.018408,0.906683,0.0565,0.093317,0
mistral,326,detector_aware,NEUTRAL,0.019816,0.239829,0.740355,-0.220013,0.259645,0
gpt,326,detector_evasive,NEUTRAL,0.11595,0.026166,0.857884,0.089784,0.142116,0
mistral,326,detector_evasive,NEUTRAL,0.048011,0.02425,0.927739,0.023761,0.072261,0
human,327,-,NEUTRAL,0.015875,0.026792,0.957333,-0.010917,0.042667,0
gpt,327,baseline,NEUTRAL,0.233999,0.021538,0.744463,0.21246,0.255537,0
mistral,327,baseline,NEUTRAL,0.161367,0.029126,0.809507,0.132242,0.190493,0
gpt,327,human_like,NEUTRAL,0.125956,0.021827,0.852217,0.104128,0.147783,0
mistral,327,human_like,NEUTRAL,0.169343,0.010031,0.820626,0.159311,0.179374,0
gpt,327,detector_aware,NEUTRAL,0.098695,0.025487,0.875818,0.073208,0.124182,0
mistral,327,detector_aware,NEUTRAL,0.051893,0.031796,0.916311,0.020098,0.083689,0
gpt,327,detector_evasive,NEUTRAL,0.117656,0.028155,0.854189,0.089501,0.145811,0
mistral,327,detector_evasive,NEUTRAL,0.034955,0.226241,0.738804,-0.191286,0.261196,0
human,328,-,NEUTRAL,0.018953,0.269029,0.712018,-0.250076,0.287982,0
gpt,328,baseline,NEUTRAL,0.151215,0.018554,0.830231,0.132661,0.169769,0
mistral,328,baseline,NEUTRAL,0.009707,0.011177,0.979115,-0.00147,0.020885,0
gpt,328,human_like,NEUTRAL,0.112743,0.017408,0.869849,0.095336,0.130151,0
mistral,328,human_like,NEUTRAL,0.168516,0.009626,0.821858,0.158889,0.178142,0
gpt,328,detector_aware,NEUTRAL,0.141416,0.017301,0.841284,0.124115,0.158716,0
mistral,328,detector_aware,NEUTRAL,0.078025,0.036563,0.885413,0.041462,0.114587,0
gpt,328,detector_evasive,NEUTRAL,0.097329,0.031534,0.871137,0.065794,0.128863,0
mistral,328,detector_evasive,NEUTRAL,0.183632,0.032565,0.783803,0.151067,0.216197,0
human,329,-,NEUTRAL,0.029833,0.092026,0.878141,-0.062192,0.121859,0
gpt,329,baseline,NEUTRAL,0.042915,0.013084,0.944002,0.029831,0.055998,0
mistral,329,baseline,NEUTRAL,0.108397,0.014508,0.877095,0.09389,0.122905,0
gpt,329,human_like,NEUTRAL,0.114225,0.012914,0.872861,0.101311,0.127139,0
mistral,329,human_like,NEUTRAL,0.130895,0.022461,0.846644,0.108434,0.153356,0
gpt,329,detector_aware,NEUTRAL,0.146573,0.011976,0.84145,0.134597,0.15855,0
mistral,329,detector_aware,NEUTRAL,0.032644,0.018242,0.949114,0.014402,0.050886,0
gpt,329,detector_evasive,NEUTRAL,0.139777,0.020416,0.839808,0.119361,0.160192,0
mistral,329,detector_evasive,NEUTRAL,0.164061,0.03741,0.798529,0.12665,0.201471,0
human,330,-,NEUTRAL,0.022914,0.158658,0.818428,-0.135745,0.181572,0
gpt,330,baseline,NEUTRAL,0.078898,0.026806,0.894296,0.052092,0.105704,0
mistral,330,baseline,NEUTRAL,0.075152,0.018381,0.906467,0.05677,0.093533,0
gpt,330,human_like,NEUTRAL,0.076989,0.018178,0.904833,0.058811,0.095167,0
mistral,330,human_like,POSITIVE,0.544956,0.011079,0.443965,0.533877,0.556035,1
gpt,330,detector_aware,NEUTRAL,0.324247,0.010507,0.665246,0.31374,0.334754,0
mistral,330,detector_aware,NEUTRAL,0.416274,0.013904,0.569821,0.40237,0.430179,0
gpt,330,detector_evasive,NEUTRAL,0.420984,0.01752,0.561496,0.403464,0.438504,0
mistral,330,detector_evasive,NEUTRAL,0.101828,0.050397,0.847775,0.051431,0.152225,0
human,331,-,NEUTRAL,0.021036,0.048736,0.930228,-0.0277,0.069772,0
gpt,331,baseline,NEUTRAL,0.075699,0.01028,0.914021,0.065419,0.085979,0
mistral,331,baseline,NEUTRAL,0.033376,0.014476,0.952149,0.0189,0.047851,0
gpt,331,human_like,NEUTRAL,0.130918,0.020067,0.849015,0.110851,0.150985,0
mistral,331,human_like,NEUTRAL,0.425382,0.006804,0.567815,0.418578,0.432185,0
gpt,331,detector_aware,NEUTRAL,0.113501,0.018255,0.868244,0.095246,0.131756,0
mistral,331,detector_aware,NEUTRAL,0.196177,0.014839,0.788984,0.181338,0.211016,0
gpt,331,detector_evasive,NEUTRAL,0.112697,0.026237,0.861067,0.08646,0.138933,0
mistral,331,detector_evasive,NEUTRAL,0.127223,0.029428,0.843348,0.097795,0.156652,0
human,332,-,NEUTRAL,0.017455,0.066986,0.915559,-0.049532,0.084441,0
gpt,332,baseline,NEUTRAL,0.117966,0.015031,0.867004,0.102935,0.132996,0
mistral,332,baseline,NEUTRAL,0.049104,0.014788,0.936107,0.034316,0.063893,0
gpt,332,human_like,NEUTRAL,0.112832,0.015531,0.871636,0.097301,0.128364,0
mistral,332,human_like,NEUTRAL,0.184999,0.012379,0.802622,0.17262,0.197378,0
gpt,332,detector_aware,NEUTRAL,0.119879,0.011531,0.86859,0.108348,0.13141,0
mistral,332,detector_aware,NEUTRAL,0.168018,0.011887,0.820095,0.156131,0.179905,0
gpt,332,detector_evasive,NEUTRAL,0.081591,0.01482,0.903588,0.066771,0.096412,0
mistral,332,detector_evasive,NEUTRAL,0.041655,0.028314,0.930031,0.013341,0.069969,0
human,333,-,NEGATIVE,0.00899,0.734619,0.256392,-0.725629,0.743608,1
gpt,333,baseline,NEUTRAL,0.219979,0.01117,0.768851,0.208808,0.231149,0
mistral,333,baseline,NEUTRAL,0.196565,0.010893,0.792541,0.185672,0.207459,0
gpt,333,human_like,NEUTRAL,0.063506,0.014986,0.921508,0.048519,0.078492,0
mistral,333,human_like,NEUTRAL,0.012717,0.024679,0.962604,-0.011962,0.037396,0
gpt,333,detector_aware,NEUTRAL,0.106432,0.01951,0.874058,0.086922,0.125942,0
mistral,333,detector_aware,NEUTRAL,0.254258,0.007708,0.738034,0.246549,0.261966,0
gpt,333,detector_evasive,NEUTRAL,0.163759,0.017284,0.818958,0.146475,0.181042,0
mistral,333,detector_evasive,NEUTRAL,0.13218,0.050359,0.817461,0.081821,0.182539,0
human,334,-,NEUTRAL,0.012238,0.188178,0.799583,-0.17594,0.200417,0
gpt,334,baseline,NEUTRAL,0.155143,0.010624,0.834233,0.144518,0.165767,0
mistral,334,baseline,NEUTRAL,0.1103,0.019527,0.870173,0.090773,0.129827,0
gpt,334,human_like,NEUTRAL,0.139423,0.015762,0.844815,0.123661,0.155185,0
mistral,334,human_like,NEUTRAL,0.273652,0.008439,0.717909,0.265214,0.282091,0
gpt,334,detector_aware,NEUTRAL,0.122033,0.027034,0.850933,0.094999,0.149067,0
mistral,334,detector_aware,NEUTRAL,0.036232,0.039582,0.924187,-0.00335,0.075813,0
gpt,334,detector_evasive,NEUTRAL,0.064167,0.038082,0.897751,0.026086,0.102249,0
mistral,334,detector_evasive,NEUTRAL,0.04211,0.032625,0.925265,0.009484,0.074735,0
human,335,-,NEUTRAL,0.009373,0.009005,0.981623,0.000368,0.018377,0
gpt,335,baseline,NEUTRAL,0.161109,0.018521,0.820369,0.142588,0.179631,0
mistral,335,baseline,NEUTRAL,0.071449,0.029515,0.899036,0.041933,0.100964,0
gpt,335,human_like,NEUTRAL,0.041655,0.017915,0.94043,0.02374,0.05957,0
mistral,335,human_like,NEUTRAL,0.014603,0.060465,0.924932,-0.045861,0.075068,0
gpt,335,detector_aware,NEUTRAL,0.040964,0.029194,0.929842,0.011771,0.070158,0
mistral,335,detector_aware,NEUTRAL,0.026827,0.021438,0.951734,0.005389,0.048266,0
gpt,335,detector_evasive,NEUTRAL,0.037525,0.054549,0.907926,-0.017024,0.092074,0
mistral,335,detector_evasive,NEUTRAL,0.113495,0.058058,0.828446,0.055437,0.171554,0
human,336,-,NEUTRAL,0.026811,0.350389,0.622799,-0.323578,0.377201,0
gpt,336,baseline,NEUTRAL,0.35676,0.01028,0.63296,0.34648,0.36704,0
mistral,336,baseline,NEUTRAL,0.287888,0.016536,0.695576,0.271352,0.304424,0
gpt,336,human_like,NEUTRAL,0.031469,0.026423,0.942108,0.005046,0.057892,0
mistral,336,human_like,NEUTRAL,0.016178,0.022682,0.96114,-0.006503,0.03886,0
gpt,336,detector_aware,NEUTRAL,0.043931,0.030987,0.925082,0.012944,0.074918,0
mistral,336,detector_aware,NEUTRAL,0.059379,0.017845,0.922776,0.041534,0.077224,0
gpt,336,detector_evasive,NEUTRAL,0.064086,0.073062,0.862852,-0.008976,0.137148,0
mistral,336,detector_evasive,NEUTRAL,0.148027,0.032893,0.81908,0.115134,0.18092,0
human,337,-,NEUTRAL,0.039627,0.084352,0.876021,-0.044724,0.123979,0
gpt,337,baseline,NEUTRAL,0.267147,0.008605,0.724248,0.258542,0.275752,0
mistral,337,baseline,NEUTRAL,0.109141,0.037385,0.853473,0.071756,0.146527,0
gpt,337,human_like,NEUTRAL,0.094007,0.021606,0.884387,0.072401,0.115613,0
mistral,337,human_like,NEUTRAL,0.067621,0.024761,0.907618,0.04286,0.092382,0
gpt,337,detector_aware,NEUTRAL,0.067324,0.035896,0.896781,0.031428,0.103219,0
mistral,337,detector_aware,NEUTRAL,0.044991,0.009526,0.945483,0.035465,0.054517,0
gpt,337,detector_evasive,NEUTRAL,0.080758,0.032374,0.886868,0.048384,0.113132,0
mistral,337,detector_evasive,NEUTRAL,0.240015,0.036778,0.723207,0.203237,0.276793,0
human,338,-,NEUTRAL,0.022989,0.034113,0.942898,-0.011123,0.057102,0
gpt,338,baseline,NEUTRAL,0.234388,0.012149,0.753463,0.222238,0.246537,0
mistral,338,baseline,NEUTRAL,0.061755,0.052947,0.885297,0.008808,0.114703,0
gpt,338,human_like,NEUTRAL,0.057411,0.017207,0.925382,0.040204,0.074618,0
mistral,338,human_like,NEUTRAL,0.078272,0.015027,0.906701,0.063244,0.093299,0
gpt,338,detector_aware,NEUTRAL,0.033715,0.03782,0.928465,-0.004105,0.071535,0
mistral,338,detector_aware,NEUTRAL,0.129046,0.021022,0.849931,0.108024,0.150069,0
gpt,338,detector_evasive,NEUTRAL,0.035291,0.051785,0.912925,-0.016494,0.087075,0
mistral,338,detector_evasive,NEUTRAL,0.119222,0.026223,0.854555,0.093,0.145445,0
human,339,-,NEUTRAL,0.082004,0.045749,0.872247,0.036254,0.127753,0
gpt,339,baseline,NEUTRAL,0.292953,0.018029,0.689019,0.274924,0.310981,0
mistral,339,baseline,NEUTRAL,0.133615,0.017773,0.848613,0.115842,0.151387,0
gpt,339,human_like,NEUTRAL,0.03321,0.025796,0.940993,0.007414,0.059007,0
