Test,Feature_family,Purpose of Test,Example,GPT-5.2 | Informal | Baseline,GPT-5.2 | Informal | P1 Human-like,GPT-5.2 | Informal | P2 Detector-evasive,GPT-5.2 | Formal | Baseline,GPT-5.2 | Formal | P1 Human-like,GPT-5.2 | Formal | P2 Detector-evasive,Mistral | Informal | Baseline,Mistral | Informal | P1 Human-like,Mistral | Informal | P2 Detector-evasive,Mistral | Formal | Baseline,Mistral | Formal | P1 Human-like,Mistral | Formal | P2 Detector-evasive,Key Findings,N_informal,N_formal,Link to csv file,Link to python script
POS: DET proportion,pos_proportions,Proportion of DET tokens,e.g. 'den',-0.10,-0.26*,-0.26*,-0.78*,-0.51*,-0.85*,-0.06,-0.07,-0.17*,-0.75*,-0.45*,-0.93*,Largest gap Mistral·Formal·P2 Detector-evasive dz=-0.93 (model<human); significant in 9/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
POS: AUX proportion,pos_proportions,Proportion of AUX tokens,e.g. 'har',+0.17*,-0.11*,-0.23*,-0.83*,-0.60*,-0.56*,+0.30*,+0.32*,+0.35*,-0.89*,-0.48*,+0.06,Largest gap Mistral·Formal·Baseline dz=-0.89 (model<human); significant in 11/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
POS: ADJ proportion,pos_proportions,Proportion of ADJ tokens,e.g. 'stor',+0.27*,+0.07*,-0.07,+0.35*,+0.50*,-0.88*,+0.15*,+0.11*,+0.01*,+0.32*,+0.52*,-0.03,Largest gap GPT-5.2·Formal·P2 Detector-evasive dz=-0.88 (model<human); significant in 10/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
POS: NUM proportion,pos_proportions,Proportion of NUM tokens,e.g. 'tre',-0.17*,-0.05*,+0.07*,-0.63*,-0.64*,-0.37*,-0.24*,-0.25*,-0.20*,-0.71*,-0.73*,-0.60*,Largest gap Mistral·Formal·P1 Human-like dz=-0.73 (model<human); significant in 12/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
POS: SYM proportion,pos_proportions,Proportion of SYM tokens,e.g. '%',-0.01,+0.71*,-0.09,+0.12,-0.02,-0.13*,-0.14*,-0.15*,-0.15*,-0.09,-0.20*,-0.20*,Largest gap GPT-5.2·Informal·P1 Human-like dz=+0.71 (model>human); significant in 7/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
POS: PART proportion,pos_proportions,Proportion of PART tokens,e.g. 'att',+0.15*,-0.11,+0.01*,-0.28*,-0.07,-0.70*,+0.25*,+0.23*,+0.39*,-0.04,+0.23*,-0.21*,Largest gap GPT-5.2·Formal·P2 Detector-evasive dz=-0.70 (model<human); significant in 9/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
POS: SCONJ proportion,pos_proportions,Proportion of SCONJ tokens,e.g. 'eftersom',+0.22*,+0.23*,+0.02*,+0.00,+0.52*,+0.56*,+0.29*,+0.36*,+0.12*,-0.68*,-0.38*,-0.41*,Largest gap Mistral·Formal·Baseline dz=-0.68 (model<human); significant in 11/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
POS: NOUN proportion,pos_proportions,Proportion of NOUN tokens,e.g. 'bil',-0.11,-0.01*,+0.20*,+0.49*,-0.02,-0.60*,-0.36*,-0.50*,-0.48*,+0.27*,-0.20*,+0.02,Largest gap GPT-5.2·Formal·P2 Detector-evasive dz=-0.60 (model<human); significant in 9/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
POS: PROPN proportion,pos_proportions,Proportion of PROPN tokens,e.g. 'Stockholm',-0.23*,-0.14,+0.15*,-0.48*,-0.54*,+0.00,-0.18*,-0.24*,-0.09,+0.13*,-0.24*,+0.15,Largest gap GPT-5.2·Formal·P1 Human-like dz=-0.54 (model<human); significant in 8/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
POS: INTJ proportion,pos_proportions,Proportion of INTJ tokens,e.g. 'ja',-0.01*,-0.07*,-0.08,-0.08,+0.04,+0.14,-0.02*,-0.03*,+0.01*,+0.05,-0.08,+0.06,Largest gap GPT-5.2·Formal·P2 Detector-evasive dz=+0.14 (model>human); significant in 5/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
POS: X proportion,pos_proportions,Proportion of X tokens,e.g. 'xoxo',+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,+0.00,Largest gap GPT-5.2·Informal·Baseline dz=+0.00 (model<human); significant in 0/12 cells,1149,170,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
Sentiment polarity (signed),,P(positive)-P(negative); positivity/negativity lean,"'Toppen, tack!' (+) vs 'Skitdåligt.' (-)",+0.56*,+0.04*,-0.23*,,,,-0.02,+0.18*,-0.13*,,,,Largest gap GPT-5.2·Informal·Baseline dz=+0.56 (model>human); significant in 5/6 cells,1149,0,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
Affective extremity,,Non-neutral sentiment mass (how polar),strong opinion (either sign) vs flat/neutral,+0.16*,-0.16*,+0.11*,,,,+0.04,-0.04,+0.11*,,,,Largest gap GPT-5.2·Informal·P1 Human-like dz=-0.16 (model<human); significant in 4/6 cells,1149,0,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
Subjectivity (non-neutral),,Non-neutral (opinionated) share,,+0.05,-0.11*,+0.00,,,,+0.04,-0.05,+0.04,,,,Largest gap GPT-5.2·Informal·P1 Human-like dz=-0.11 (model<human); significant in 1/6 cells,1149,0,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison_results.csv,src/2_text_analysis_scripts/model_comparison_mistral_gpt/model_comparison.py
